year,geo_name,geo,age,age_moe,age_rank
2016,"Sumter County, FL",05000US12119,66,0.2,1
2015,"Sumter County, FL",05000US12119,65.3,0.1,1
2014,"Sumter County, FL",05000US12119,64.5,0.2,1
2013,"Sumter County, FL",05000US12119,63.8,0.2,1
2014,Mineral County,05000US08079,61.2,2.4,2
2016,Mineral County,05000US08079,61.2,2.4,2
2015,Mineral County,05000US08079,60.9,2.8,2
2013,Mineral County,05000US08079,60.8,2.8,2
2016,Highland County,05000US51091,59.8,1.6,3
2016,Hooker County,05000US31091,59.5,3.4,4
2016,Wheeler County,05000US41069,59.2,1.8,5
2015,Highland County,05000US51091,59,2.6,3
2014,Highland County,05000US51091,58.6,2.8,3
2016,Loving County,05000US48301,58.2,4,6
2013,Highland County,05000US51091,58.2,3.1,3
2016,Catron County,05000US35003,58.1,3.9,7
2016,Harding County,05000US35021,58,1.6,8
2015,Hooker County,05000US31091,57.9,3.5,4
2016,"Charlotte County, FL",05000US12015,57.7,0.2,9
2014,Hinsdale County,05000US08053,57.5,3.6,4
2016,Alcona County,05000US26001,57.4,0.4,10
2014,Custer County,05000US08027,57.4,2.8,5
2015,"Charlotte County, FL",05000US12015,57.3,0.2,5
2014,Hooker County,05000US31091,57.2,4.2,6
2013,Catron County,05000US35003,57.2,2.1,4
2015,Catron County,05000US35003,57.1,3.4,6
2014,"Charlotte County, FL",05000US12015,56.9,0.3,7
2015,Harding County,05000US35021,56.9,1.4,7
2016,Custer County,05000US08027,56.8,3,11
2014,Catron County,05000US35003,56.8,2.7,8
2014,Harding County,05000US35021,56.7,1.6,9
2013,"Charlotte County, FL",05000US12015,56.7,0.2,5
2015,Alcona County,05000US26001,56.6,0.3,8
2016,Ontonagon County,05000US26131,56.6,0.4,12
2013,Hinsdale County,05000US08053,56.5,3.6,6
2015,Wheeler County,05000US41069,56.5,2.7,9
2016,Kalawao County,05000US15005,56.5,8.6,13
2016,Llano County,05000US48299,56.4,0.6,14
2016,Lancaster County,05000US51103,56.4,0.6,14
2016,Hinsdale County,05000US08053,56.4,4.5,14
2015,Custer County,05000US08027,56.4,3,10
2014,Alcona County,05000US26001,56.3,0.4,10
2015,Llano County,05000US48299,56.3,0.5,11
2016,Jefferson County,05000US53031,56.2,0.6,17
2016,Sierra County,05000US35051,56,0.8,18
2013,Alcona County,05000US26001,55.8,0.2,7
2016,"Citrus County, FL",05000US12017,55.7,0.2,19
2015,Sierra County,05000US35051,55.6,0.6,12
2015,Ontonagon County,05000US26131,55.6,0.2,12
2015,Lancaster County,05000US51103,55.6,0.4,12
2015,Jefferson County,05000US53031,55.6,0.3,12
2014,Llano County,05000US48299,55.6,0.5,11
2013,Llano County,05000US48299,55.5,0.3,8
2016,Real County,05000US48385,55.5,3,20
2014,Sierra County,05000US35051,55.5,0.6,12
2013,Wheeler County,05000US41069,55.5,1.9,8
2013,Harding County,05000US35021,55.5,1.8,8
2016,Northumberland County,05000US51133,55.5,0.2,20
2015,"Citrus County, FL",05000US12017,55.4,0.1,16
2013,Prairie County,05000US30079,55.4,2.1,11
2013,Sierra County,05000US35051,55.4,0.4,11
2014,Lancaster County,05000US51103,55.3,0.3,13
2015,Loving County,05000US48301,55.3,18.5,17
2016,Sierra County,05000US06091,55.2,1.5,22
2015,Hinsdale County,05000US08053,55.2,3.6,18
2016,La Paz County,05000US04012,55.1,0.2,23
2016,Curry County,05000US41015,55.1,0.4,23
2016,Keweenaw County,05000US26083,55.1,0.4,23
2015,Northumberland County,05000US51133,55.1,0.1,19
2016,San Juan County,05000US53055,55.1,0.1,23
2014,"Citrus County, FL",05000US12017,55,0.1,14
2016,Montmorency County,05000US26119,55,0.1,27
2014,Jefferson County,05000US53031,55,0.2,14
2014,Wheeler County,05000US41069,54.9,2.7,16
2016,Roscommon County,05000US26143,54.9,0.2,28
2014,Ontonagon County,05000US26131,54.8,0.2,17
2013,Jeff Davis County,05000US48243,54.8,5.6,13
2015,La Paz County,05000US04012,54.8,0.2,20
2014,Northumberland County,05000US51133,54.7,0.2,18
2015,Storey County,05000US32029,54.7,1.5,21
2014,Jeff Davis County,05000US48243,54.7,6,18
2013,"Citrus County, FL",05000US12017,54.6,0.1,14
2015,Montmorency County,05000US26119,54.6,0.3,22
2016,Golden Valley County,05000US30037,54.6,3.5,29
2015,Curry County,05000US41015,54.6,0.4,22
2014,La Paz County,05000US04012,54.6,0.2,20
2013,Custer County,05000US08027,54.6,3.5,14
2013,Lancaster County,05000US51103,54.5,0.3,16
2016,Huerfano County,05000US08055,54.5,0.3,30
2015,Sierra County,05000US06091,54.5,1.1,24
2016,"Sarasota County, FL",05000US12115,54.5,0.1,30
2015,Keweenaw County,05000US26083,54.5,0.5,24
2016,Kimble County,05000US48267,54.5,1.8,30
2014,Wrangell City and Borough,05000US02275,54.4,3.1,21
2013,Storey County,05000US32029,54.4,3.3,17
2015,Roscommon County,05000US26143,54.4,0.3,26
2015,San Juan County,05000US53055,54.4,0.2,26
2016,Storey County,05000US32029,54.4,2.8,33
2013,Jefferson County,05000US53031,54.3,0.3,18
2013,Griggs County,05000US38039,54.3,1.9,18
2014,Storey County,05000US32029,54.2,3.2,22
2016,Hickory County,05000US29085,54.2,0.5,34
2014,Roscommon County,05000US26143,54.2,0.2,22
2013,Golden Valley County,05000US30037,54.2,4,20
2014,Curry County,05000US41015,54.1,0.4,24
2015,Real County,05000US48385,54.1,4.7,28
2015,"Sarasota County, FL",05000US12115,54,0.2,29
2013,Northumberland County,05000US51133,54,0.5,21
2016,Presque Isle County,05000US26141,53.9,0.2,35
2014,Montmorency County,05000US26119,53.9,0.6,25
2013,Curry County,05000US41015,53.8,0.4,22
2013,Kalawao County,05000US15005,53.8,10.7,22
2014,Real County,05000US48385,53.8,4.8,26
2013,Roscommon County,05000US26143,53.8,0.2,22
2014,San Juan County,05000US53055,53.8,0.2,26
2013,La Paz County,05000US04012,53.8,0.5,22
2014,Prairie County,05000US30079,53.7,4.2,28
2015,Granite County,05000US30039,53.7,1.3,30
2013,Ontonagon County,05000US26131,53.6,0.2,26
2015,Grant County,05000US38037,53.6,1.5,31
2013,Sheridan County,05000US38083,53.6,1.5,26
2016,Aitkin County,05000US27001,53.6,0.2,36
2016,Grant County,05000US38037,53.6,1.8,36
2014,Hickory County,05000US29085,53.6,0.6,29
2016,Union County,05000US13291,53.6,0.5,36
2016,Hamilton County,05000US36041,53.5,0.4,39
2016,Granite County,05000US30039,53.5,1,39
2014,Sierra County,05000US06091,53.5,2,30
2016,Iron County,05000US26071,53.5,0.3,39
2015,Hickory County,05000US29085,53.5,0.6,32
2016,Potter County,05000US46107,53.5,1.8,39
2015,Huerfano County,05000US08055,53.5,0.7,32
2014,"Sarasota County, FL",05000US12115,53.5,0.2,30
2015,McIntosh County,05000US38051,53.4,1,34
2013,Keya Paha County,05000US31103,53.3,2.5,28
2016,Leelanau County,05000US26089,53.3,0.2,43
2014,Granite County,05000US30039,53.3,0.8,32
2013,Hickory County,05000US29085,53.3,0.6,28
2013,Wrangell City and Borough,05000US02275,53.3,3.3,28
2016,Ouray County,05000US08091,53.3,1.8,43
2013,San Juan County,05000US53055,53.3,0.2,28
2015,Iron County,05000US26071,53.3,0.3,35
2015,Union County,05000US13291,53.3,0.7,35
2014,Sheridan County,05000US38083,53.2,2.4,33
2016,Iron County,05000US55051,53.2,0.4,45
2015,Presque Isle County,05000US26141,53.2,0.3,37
2016,Custer County,05000US46033,53.2,0.4,45
2014,Keweenaw County,05000US26083,53.2,0.8,33
2016,Jones County,05000US46075,53.1,4.2,47
2015,Jeff Davis County,05000US48243,53.1,3.9,38
2013,Garden County,05000US31069,53.1,2.5,32
2013,"Sarasota County, FL",05000US12115,53.1,0.2,32
2014,Daggett County,05000US49009,53.1,6.3,35
2016,Wahkiakum County,05000US53069,53.1,1.3,47
2016,Middlesex County,05000US51119,53.1,0.5,47
2015,Aitkin County,05000US27001,53.1,0.2,38
2015,Golden Valley County,05000US30037,53.1,3.6,38
2016,Boise County,05000US16015,53.1,0.6,47
2016,Towns County,05000US13281,53,0.8,51
2013,Granite County,05000US30039,53,1.6,34
2016,Vilas County,05000US55125,52.9,0.2,52
2013,Divide County,05000US38023,52.9,1.9,35
2014,Iron County,05000US26071,52.9,0.3,36
2015,Ouray County,05000US08091,52.9,2.2,41
2016,Benton County,05000US29015,52.9,0.5,52
2015,Keya Paha County,05000US31103,52.8,4.4,42
2013,Montmorency County,05000US26119,52.8,0.3,36
2015,Custer County,05000US46033,52.8,0.6,42
2015,Nelson County,05000US38063,52.8,0.7,42
