year,geo_name,geo,income_below_poverty,pop_poverty_status,income_below_poverty,income_below_poverty_moe,pop_poverty_status,pop_poverty_status_moe
2014,"Los Angeles County, CA",05000US06037,1805870,9819400,1805870,15906,9819400,3827
2015,"Los Angeles County, CA",05000US06037,1800260,9886130,1800260,14598,9886130,3427
2016,"Los Angeles County, CA",05000US06037,1764080,9906010,1764080,15531,9906010,2408
2013,"Los Angeles County, CA",05000US06037,1737220,9738370,1737220,16693,9738370,3163
2014,"Cook County, IL",05000US17031,886261,5145840,886261,9592,5145840,2064
2015,"Cook County, IL",05000US17031,879499,5152020,879499,10464,5152020,1948
2013,"Cook County, IL",05000US17031,868652,5133180,868652,9812,5133180,2022
2016,"Cook County, IL",05000US17031,856682,5141820,856682,12805,5141820,1819
2014,"Harris County, TX",05000US48201,778703,4225240,778703,13913,4225240,2303
2015,"Harris County, TX",05000US48201,774568,4312200,774568,10211,4312200,2294
2013,"Harris County, TX",05000US48201,765948,4139330,765948,11580,4139330,2204
2016,"Harris County, TX",05000US48201,763456,4389360,763456,11193,4389360,2024
2015,"Maricopa County, AZ",05000US04013,673527,3965550,673527,10409,3965550,1899
2014,"Maricopa County, AZ",05000US04013,666748,3895960,666748,10561,3895960,2278
2016,"Maricopa County, AZ",05000US04013,666513,4035350,666513,8761,4035350,2059
2013,"Maricopa County, AZ",05000US04013,639233,3839010,639233,9490,3839010,1688
2015,"Kings County, NY",05000US36047,597404,2574150,597404,8266,2574150,1448
2014,"Kings County, NY",05000US36047,595531,2549010,595531,6969,2549010,1547
2016,"Kings County, NY",05000US36047,587518,2584690,587518,8129,2584690,1527
2013,"Kings County, NY",05000US36047,583378,2519470,583378,8882,2519470,1422
2015,"Miami-Dade County, FL",05000US12086,530006,2598560,530006,10347,2598560,1875
2014,"Miami-Dade County, FL",05000US12086,524382,2557260,524382,9586,2557260,1569
2016,"Miami-Dade County, FL",05000US12086,522143,2622940,522143,9171,2622940,1443
2013,"Miami-Dade County, FL",05000US12086,498751,2502560,498751,9412,2502560,1484
2015,"Dallas County, TX",05000US48113,472926,2454370,472926,9526,2454370,1526
2014,"Dallas County, TX",05000US48113,467347,2417680,467347,8417,2417680,1635
2016,"Dallas County, TX",05000US48113,461045,2482110,461045,8623,2482110,1419
2014,"San Diego County, CA",05000US06073,455855,3102460,455855,8748,3102460,2317
2013,"Dallas County, TX",05000US48113,454926,2380740,454926,8226,2380740,1414
