state,state_party_comp
Alabama,Rep
Alaska,Rep
Arizona,Rep
Arkansas,Rep
California,Dem
Colorado,Spl
Connecticut,Dem
Delaware,Dem
Florida,Rep
Georgia,Rep
Hawaii,Dem
Idaho,Rep
Illinois,Dem
Indiana,Rep
Iowa,Spl
Kansas,Rep
Kentucky,Spl
Louisiana,Rep
Maine,Spl
Maryland,Dem
Massachusetts,Dem
Michigan,Rep
Minnesota,Spl
Mississippi,Rep
Missouri,Rep
Montana,Rep
Nebraska,Uni
Nevada,Rep
New Hampshire,Rep
New Jersey,Dem
New Mexico,Spl
New York,Spl
North Carolina,Rep
North Dakota,Rep
Ohio,Rep
Oklahoma,Rep
Oregon,Dem
Pennsylvania,Rep
Rhode Island,Dem
South Carolina,Rep
South Dakota,Rep
Tennessee,Rep
Texas,Rep
Utah,Rep
Vermont,Dem
Virginia,Rep
Washington,Spl
West Virginia,Rep
Wisconsin,Rep
Wyoming,Rep
