State Name,State Abbreviation,County Name,FIPS,Part D Prescribers,Part D Opioid Prescribers,Opioid Claims,Extended Release Opioid Claims,Overall Claims,Opioid Prescribing Rate,Extended Release Opioid Prescribing Rate,Change in Opioid Prescribing Rate
Alabama,AL,Autauga,01001,68,43,"15,998","1,159","198,347",8.07,7.24,-1.73
Alabama,AL,Baldwin,01003,440,256,"82,086","6,380","925,511",8.87,7.77,-0.27
Alabama,AL,Barbour,01005,33,24,"5,818",229,"129,152",4.50,3.94,-1.78
Alabama,AL,Bibb,01007,34,13,"1,625",48,"41,253",3.94,2.95,-0.04
Alabama,AL,Blount,01009,28,21,"8,783",76,"147,552",5.95,0.87,-0.17
Alabama,AL,Bullock,01011,10,6,"2,018",38,"42,465",4.75,1.88,1.01
Alabama,AL,Butler,01013,36,23,"6,869",146,"98,387",6.98,2.13,-1.21
Alabama,AL,Calhoun,01015,271,158,"50,348","2,434","650,506",7.74,4.83,-0.24
Alabama,AL,Chambers,01017,37,25,"11,244",658,"147,518",7.62,5.85,-0.34
Alabama,AL,Cherokee,01019,29,20,"13,034",305,"173,605",7.51,2.34,-0.65
Alabama,AL,Chilton,01021,40,27,"11,991",96,"163,889",7.32,0.80,0.87
Alabama,AL,Choctaw,01023,16,12,"6,545",164,"91,480",7.15,2.51,-0.98
Alabama,AL,Clarke,01025,38,24,"8,858",129,"147,880",5.99,1.46,-0.61
Alabama,AL,Clay,01027,14,9,"7,508",702,"93,493",8.03,9.35,0.09
Alabama,AL,Cleburne,01029,7,3,"3,569",147,"45,016",7.93,4.12,-0.88
Alabama,AL,Coffee,01031,94,57,"19,018",604,"224,974",8.45,3.18,0.29
Alabama,AL,Colbert,01033,165,91,"35,920",641,"513,918",6.99,1.78,-0.56
Alabama,AL,Conecuh,01035,15,9,"12,215",329,"128,938",9.47,2.69,-0.69
Alabama,AL,Coosa,01037,1,1,96,0,"2,296",4.18,0.00,2.40
Alabama,AL,Covington,01039,75,42,"23,415",585,"284,080",8.24,2.50,0.00
Alabama,AL,Crenshaw,01041,14,5,"4,380",59,"78,119",5.61,1.35,-0.89
Alabama,AL,Cullman,01043,215,116,"58,097","3,645","742,508",7.82,6.27,0.17
Alabama,AL,Dale,01045,52,27,"7,146",70,"99,844",7.16,0.98,-1.25
Alabama,AL,Dallas,01047,93,50,"19,954","1,603","322,095",6.20,8.03,-0.01
Alabama,AL,DeKalb,01049,98,55,"22,406",625,"332,002",6.75,2.79,0.30
Alabama,AL,Elmore,01051,65,50,"16,272",321,"214,127",7.60,1.97,0.04
Alabama,AL,Escambia,01053,63,42,"15,726",207,"207,022",7.60,1.32,0.28
Alabama,AL,Etowah,01055,329,191,"86,309","9,799","921,155",9.37,11.35,0.30
Alabama,AL,Fayette,01057,19,14,"6,923",405,"110,740",6.25,5.85,0.01
Alabama,AL,Franklin,01059,48,26,"16,920",445,"143,949",11.75,2.63,0.49
Alabama,AL,Geneva,01061,16,11,"6,324",177,"91,517",6.91,2.80,-0.54
Alabama,AL,Greene,01063,8,5,"1,621",13,"27,839",5.82,0.80,-0.95
Alabama,AL,Hale,01065,11,6,"3,825",68,"73,785",5.18,1.78,-4.44
Alabama,AL,Henry,01067,17,10,"5,612",47,"82,483",6.80,0.84,-1.16
Alabama,AL,Houston,01069,495,276,"77,308","3,091","1,135,739",6.81,4.00,-0.52
Alabama,AL,Jackson,01071,87,56,"24,417",479,"319,388",7.64,1.96,0.08
Alabama,AL,Jefferson,01073,"3,219","1,462","359,253","17,176","5,261,623",6.83,4.78,-0.14
Alabama,AL,Lamar,01075,13,8,"2,997",0,"31,851",9.41,0.00,2.24
Alabama,AL,Lauderdale,01077,258,139,"38,312","1,124","638,831",6.00,2.93,-0.42
Alabama,AL,Lawrence,01079,22,11,"8,001",176,"116,972",6.84,2.20,-0.35
Alabama,AL,Lee,01081,255,136,"30,127","1,370","560,041",5.38,4.55,-0.92
Alabama,AL,Limestone,01083,112,59,"11,867",163,"218,830",5.42,1.37,0.20
Alabama,AL,Lowndes,01085,2,2,"1,083",0,"15,396",7.03,0.00,2.22
Alabama,AL,Macon,01087,13,4,514,0,"14,993",3.43,0.00,-0.53
Alabama,AL,Madison,01089,"1,169",574,"153,809","10,468","1,641,930",9.37,6.81,-0.11
Alabama,AL,Marengo,01091,29,17,"7,541",199,"124,358",6.06,2.64,-0.16
Alabama,AL,Marion,01093,51,33,"23,280",407,"308,615",7.54,1.75,-0.93
Alabama,AL,Marshall,01095,182,110,"46,616","1,161","697,211",6.69,2.49,-0.33
Alabama,AL,Mobile,01097,"1,483",784,"223,869","13,824","2,712,755",8.25,6.18,-0.29
Alabama,AL,Monroe,01099,25,15,"4,184",152,"87,657",4.77,3.63,-1.73
Alabama,AL,Montgomery,01101,856,410,"120,006","7,201","1,701,128",7.05,6.00,0.53
Alabama,AL,Morgan,01103,298,155,"66,129","7,252","746,724",8.86,10.97,-0.53
Alabama,AL,Perry,01105,9,5,"2,577",158,"51,294",5.02,6.13,-0.09
Alabama,AL,Pickens,01107,20,14,"6,643",354,"109,072",6.09,5.33,-0.46
Alabama,AL,Pike,01109,51,30,"7,985",186,"166,726",4.79,2.33,-1.89
Alabama,AL,Randolph,01111,28,12,"6,094",71,"109,829",5.55,1.17,-1.70
Alabama,AL,Russell,01113,30,22,"6,726",424,"119,305",5.64,6.30,-1.14
Alabama,AL,Shelby,01117,378,193,"81,737","7,797","836,479",9.77,9.54,0.19
Alabama,AL,St. Clair,01115,81,40,"22,926","1,366","262,915",8.72,5.96,0.28
Alabama,AL,Sumter,01119,10,8,"2,606",69,"42,445",6.14,2.65,1.12
Alabama,AL,Talladega,01121,128,79,"35,277",771,"437,278",8.07,2.19,-0.61
Alabama,AL,Tallapoosa,01123,80,46,"16,240",405,"342,724",4.74,2.49,-1.46
Alabama,AL,Tuscaloosa,01125,622,338,"88,874","8,305","1,157,601",7.68,9.34,-0.17
Alabama,AL,Walker,01127,143,91,"50,044","2,809","522,707",9.57,5.61,-0.46
