"","county_id","unemployment_rate","hs_graduation_rate","average_age","state","county","population","male_proportion","female_proportion","white_proportion","black_proportion","american_indian_proportion","asian_proportion","hawaiian_pacific_proportion","interracial_proportion","no_hispanic_proportion","hispanic_proportion","state_legislature","syringe_exchange","num_exchange","immunity_for_possession_of_naloxone_no_script","prescriber_immunity_criminal","poverty_rate"
"1","05000US06037",0.099,0.789,35.6,"California","Los Angeles County",10150558,49.27866035,50.72133965,71.02588843,9.026163882,1.440058763,15.12783829,0.373171603,3.006879031,51.48767191,48.51232809,"Democrat","Yes",40,"No","Yes",0.177355767042561
"2","05000US17031",0.096,0.778,35.9,"Illinois","Cook County",5231356,48.52917676,51.47082324,65.64688008,24.16813155,0.74256082,7.464909672,0.074684269,1.902833606,74.73037583,25.26962417,"Democrat","Yes",9,"No","Yes",0.168120655524113
"3","05000US48201",0.062,0.852,32.8,"Texas","Harris County",4617041,49.74731652,50.25268348,70.00760877,19.66447775,1.073154863,7.268919639,0.126228032,1.85961095,57.50007418,42.49992582,"Republican","No",0,"Yes","Yes",0.167762859372486
"4","05000US04013",0.067,0.783,35.6,"Arizona","Maricopa County",4233383,49.46514407,50.53485593,83.71607294,6.028299353,2.790770407,4.298193667,0.279540027,2.887123608,69.1687003,30.8312997,"Republican","Yes",6,"No","Yes",0.159098999547171
"5","05000US36047",0.094,0.648,34.4,"New York","Kings County",2650859,47.38943112,52.61056888,49.36124479,34.4421563,0.944297679,12.64024228,0.118904853,2.493154106,80.82021714,19.17978286,"Split","Yes",23,"No","No",0.225362420256981
"6","05000US12086",0.084,0.76,39,"Florida","Miami-Dade County",2736543,48.56919844,51.43080156,78.3591926,18.46227156,0.280719141,1.627747125,0.04703014,1.223039433,31.9834185,68.0165815,"Republican","Yes",2,"No","Yes",0.193677205145324
"7","05000US48113",0.067,0.829,33.1,"Texas","Dallas County",2587462,49.27059798,50.72940202,67.20284201,23.38921306,1.093813165,6.37126265,0.107557135,1.835311978,60.10337543,39.89662457,"Republican","No",0,"Yes","Yes",0.182776017580162
"8","05000US06073",0.075,0.855,35.1,"California","San Diego County",3317200,50.32446039,49.67553961,75.90564331,5.528729049,1.313879175,12.28328108,0.591764138,4.376703244,66.4105571,33.5894429,"Democrat","Yes",40,"No","Yes",0.137126492222356
"9","05000US26163",0.105,0.741,37.8,"Michigan","Wayne County",1756598,48.13195734,51.86804266,54.68405406,39.13644442,0.471593387,3.270810965,0.020949586,2.416147576,94.18779937,5.812200629,"Republican","Yes",4,"Yes","No",0.250739782238167
"10","05000US36005",0.118,0.583,33.2,"New York","Bronx County",1468976,47.14038895,52.85961105,44.99317892,43.71793685,2.912573112,4.418996634,0.416616745,3.540697738,44.03026326,55.96973674,"Split","Yes",23,"No","No",0.291069425232271
"11","05000US42101",0.1,0.652,33.7,"Pennsylvania","Philadelphia County",1574765,47.31315466,52.68684534,44.72292691,44.22805942,0.845967494,7.466193369,0.151324166,2.585528634,85.53371455,14.46628545,"Republican","Yes",2,"No","Yes",0.253594663330719
"12","05000US06071",0.101,0.827,32.5,"California","San Bernardino County",2137131,49.75380545,50.24619455,77.11614309,9.457585894,2.039977896,7.462340867,0.465717825,3.458234427,47.16599029,52.83400971,"Democrat","Yes",40,"No","Yes",0.186121487171353
"13","05000US06059",0.062,0.91,37.1,"California","Orange County",3177703,49.36247975,50.63752025,72.51237765,2.087167995,1.045377746,20.54625621,0.389306364,3.419514033,65.78808655,34.21191345,"Democrat","Yes",40,"No","Yes",0.12445562093122
"14","05000US06065",0.103,0.839,34.5,"California","Riverside County",2386522,49.76388234,50.23611766,80.17931534,7.131926712,1.893341021,6.887051534,0.437624292,3.470741104,51.53155932,48.46844068,"Democrat","Yes",40,"No","Yes",0.159221243298826
"15","05000US36081",0.078,0.7,37.7,"New York","Queens County",2356044,48.4876768,51.5123232,48.2797435,20.53866566,1.311350722,26.74321872,0.21922341,2.907797987,72.02819642,27.97180358,"Split","Yes",23,"No","No",0.14593700287431
"16","05000US32003",0.1,0.62,36.4,"Nevada","Clark County",2156724,49.9315165,50.0684835,70.94171531,12.22785113,1.195795104,10.25509059,0.844104299,4.535443571,69.01374492,30.98625508,"Republican","Yes",2,"Yes","Yes",0.146220842351641
"17","05000US48029",0.06,0.865,33.1,"Texas","Bexar County",1927747,49.32970976,50.67029024,84.77315747,8.419777077,1.228325086,3.075662937,0.217144677,2.285932749,39.97194653,60.02805347,"Republican","No",0,"Yes","Yes",0.161892613501668
"18","05000US36061",0.072,0.666,36.6,"New York","New York County",1662164,47.35459317,52.64540683,64.53731401,18.00279635,1.188932019,12.76119565,0.18060793,3.329154043,73.85276062,26.14723938,"Split","Yes",23,"No","No",0.170614933303814
"19","05000US48439",0.061,0.859,34,"Texas","Tarrant County",2021746,48.95728741,51.04271259,74.16628993,16.76367852,0.881267973,5.524680153,0.235390598,2.428692823,71.53633542,28.46366458,"Republican","No",0,"Yes","Yes",0.140108599200889
